id,summary,updaterName,updated,State,Priority,Sprint,Category,Assignee
CMLB-6097,Tree / Refactoring / Вынести основную логику создания дерева в отдельный модуль / FE,alexey.tikhonov,1581509297727,Fixed,Normal,2020.3,Technical debt,alexey.tikhonov
CMLB-6132,Clusters Manager / Solver / Запуск солверов / Specification,vladimir.panchenko,1581323849597,Open,Normal,2020.3,Project Documentation,vladimir.panchenko
CMLB-6133,Clusters Manager / Task / Обработка запущенных задач / Specification,alena.kamneva,1581576363848,Open,Normal,2020.3,Project Documentation,ilya.belan
CMLB-6139,Bench / Разработать разные иконки для Wiki-pages и Documents / UI,alena.kamneva,1581509908730,Open,Normal,2020.3,,sveta.pershay
CMLB-6153,Bench / Performance проблемы в системе / BE,alena.kamneva,1581324042108,Discussion,Major,2020.3,Fixes&Improvements,alena.kamneva
CMLB-6165,Bench / Разобраться с property файлами / BE,oleg.rekin,1581336991730,Open,Normal,2020.3,Technical debt,oleg.rekin
CMLB-6171,Bench / Optimize Integration Tests / BE,pavel.epanechkin,1581586762835,Open,Normal,2020.3,Technical debt,pavel.epanechkin
CMLB-6174,Queue / Resources. Clusters /  Реализовать верстку и функционал (mock data) виджета Resources - Clusters  / FE,alena.kamneva,1581576343660,Fixed,Normal,2020.3,New feature,alexey.tikhonov
CMLB-6175,Queue / Resources. Licenses / Реализовать верстку и функционал (mock data) виджета Resources - Licenses / FE,alexey.tikhonov,1581677813731,Fixed,Normal,2020.3,New feature,alexey.tikhonov
CMLB-6176,Queue / Resources. Tunings /  Реализовать верстку и общую логику работы виджета Resources - Tunings  (с использованием mock data)  / FE,alexey.tikhonov,1581598573578,In Progress,Normal,2020.3,New feature,alexey.tikhonov
CMLB-6183,Tree / Не открывается контекстное меню в root директории дерева / FE,alexey.tikhonov,1581335127004,Open,Normal,2020.3,Technical debt,alexey.tikhonov
CMLB-6190,Clipboard / Пустая таблица Values на клипборде открывается 1.9 минуты / BE,oleg.rekin,1581433379616,Open,Normal,2020.3,Fixes&Improvements,ilya.belan
CMLB-6215,Bench / Завершить разработку нового Workflow для Youtrack,alena.kamneva,1581324014519,Open,Normal,2020.3,Organization,anton.lukashin
CMLB-6225,Profile / Расширить функционал использования LDAP на Bench / BE,valerii.belopolskii,1581666401930,Discussion,Normal,2020.3,New feature,valerii.belopolskii
CMLB-6233,Core / Рефакторинг пакетов в тестах / BE,pavel.epanechkin,1581498393443,Open,Normal,2020.3,Technical debt,pavel.epanechkin
CMLB-6241,Clusters manager / Solver / CRUD / BE,alena.kamneva,1581576363849,Open,Normal,2020.3,Project Documentation,ilya.belan
CMLB-6243,Clusters manager / Task / Получения задач / Specification,alena.kamneva,1581576363849,Open,Normal,2020.3,Project Documentation,ilya.belan
CMLB-6254,Clusters Manager / Cluster / Slurm / Specification,dmytro.miroshnychenko,1581334914793,Open,Normal,2020.3,Project Documentation,pavel.epanechkin
CMLB-6255,Clusters Manager / Cluster / Torque / Specification,dmytro.miroshnychenko,1581334939111,Open,Normal,2020.3,Project Documentation,pavel.epanechkin
CMLB-6256,Clusters Manager / Cluster / Bench / Specification,vladimir.panchenko,1581942251821,Open,Normal,2020.3,Project Documentation,pavel.epanechkin
CMLB-6259,Clusters Manager / Cluster / Bench / Реализовать запуск задач / Specification,vladimir.panchenko,1581323834636,Open,Normal,2020.3,Project Documentation,vladimir.panchenko
CMLB-6262,Clusters Manager / Cluster / Bench / Реализовать проверку состояния кластера / BE,vladimir.panchenko,1581942257102,In Progress,Normal,2020.3,New ClustersManager,dmytro.miroshnychenko
CMLB-6266,Production / Перенести группы из Access Rights в проектные команды / BE,ekaterina.tcvetkova,1581307949919,In Progress,Major,2020.3,Fixes&Improvements,ekaterina.tcvetkova
CMLB-6268,Stage / Создать актуальный тестовый dump для проведения тестирования / BE,ekaterina.tcvetkova,1581307974955,Open,Normal,2020.3,New feature,ekaterina.tcvetkova
CMLB-6269,Stage / Создать тестовый dump для проведения тестирования / BE,ekaterina.tcvetkova,1581307965118,Discussion,Normal,2020.3,New feature,ekaterina.tcvetkova
CMLB-6276,Loadcase Matrix / Добавить изменение ширины колонок / FE,alexey.tikhonov,1581335146208,Open,Normal,2020.3,Fixes&Improvements,alexey.tikhonov
CMLB-6284,Queue / Шапка и флов / Specification,bogdan.kozatskiy,1581434865901,Fixed,Normal,2020.3,Project Documentation,bogdan.kozatskiy
CMLB-6286,Queue / Новые таблицы задач / Specification,valerii.belopolskii,1581674379540,Open,Normal,2020.3,Project Documentation,bogdan.kozatskiy
CMLB-6287,Queue / Тюнинги / Specification,alexey.tikhonov,1581689750162,Open,Normal,2020.3,New feature,bogdan.kozatskiy
CMLB-6288,Queue / Лицензии / Specification,vladimir.panchenko,1581927467119,Open,Normal,2020.3,New feature,bogdan.kozatskiy
CMLB-6290,Queue / Блочный вид для задач / Specification,bogdan.kozatskiy,1581945163676,Open,Normal,2020.3,New feature,bogdan.kozatskiy
CMLB-6312,Loadcase / Отредактировать сообщение об ошибках при импорте Target Values в лоадкейс / BE,valerii.belopolskii,1581674104080,Fixed,Normal,2020.3,Fixes&Improvements,vladimir.panchenko
CMLB-6321,Bench /  При изменении имени сущности Title остаётся прежним / FE,alexey.tikhonov,1581335134328,Discussion,Minor,2020.3,Fixes&Improvements,alexey.tikhonov
CMLB-6328,Role / При изменении Visibility Scope на Project роль не удаляется из автогрупп / BE,vladimir.panchenko,1581323871463,Discussion,Minor,2020.3,Fixes&Improvements,vladimir.panchenko
